MillisecondsPerFrame: 1.0
END OF HEADER
0.000000 90.909088 .bn
90.909088 147.727264 l
147.727264 231.283417 o
231.283417 262.700531 s
262.700531 294.786102 d_c
294.786102 319.518707 d
319.518707 449.197876 o
449.197876 496.657745 s
496.657745 558.155090 k_c
558.155090 581.550781 k
581.550781 655.748657 a_7
655.748657 736.631042 s
736.631042 793.449219 o
793.449219 854.278076 r
854.278076 907.085571 e_7
907.085571 987.967896 s
987.967896 1044.117676 e
1044.117676 1120.989258 n~
1120.989258 1196.631104 a
1196.631104 1278.074829 o
1278.074829 1361.630981 s
1361.630981 1415.775391 a
1415.775391 1463.235352 k_c
1463.235352 1485.428467 k
1485.428467 1526.870117 o
1526.870117 1578.672485 -N
1578.672485 1601.604248 t_c
1601.604248 1622.326172 t
1622.326172 1666.443848 i_7
1666.443848 1716.577515 n
1716.577515 1743.984009 o
1743.984009 1813.502686 a
1813.502686 1913.444336 s
1913.444336 1937.079102 j
1937.079102 1961.229980 o
1961.229980 2046.834961 -N
2046.834961 2121.948242 s
2121.948242 2158.209717 o_7
2158.209717 2197.061523 -N
2197.061523 2219.077393 l
2219.077393 2267.641846 o
2267.641846 2305.198486 s
2305.198486 2368.656250 m
2368.656250 2417.847900 a
2417.847900 2494.924072 s
2494.924072 2546.078857 u
2546.078857 2652.273438 s
2652.273438 2669.756592 w
2669.756592 2751.345215 a_7
2751.345215 2813.507813 l
2813.507813 2867.646973 e
2867.646973 3050.133789 s
3050.133789 3150.385488 .sil
