MillisecondsPerFrame: 1.0
END OF HEADER
0.000000 88.235291 .sil
88.235291 624.331543 convencio_7n
624.331543 868.315491 sobre
868.315491 923.128357 el
923.128357 1274.732666 comercio
1274.732666 1937.165771 internacional
1937.165771 2003.342285 de
2003.342285 2392.379639 especies
2392.379639 3035.427734 amenazadas
3035.427734 3133.689941 de
3133.689941 3479.278076 fauna
3479.278076 3546.791504 y
3546.791504 3847.593506 flora
3847.593506 4469.251465 silvestre
4469.251465 4552.131348 .sil
